Symbol,Name,Price(usd),Change,Volume_M,Market Cap,PE Ratio,Price_usd,PE_Ratio
JD,"JD.com, Inc.",34.5,-0.67,13.639,49.375B,9.64,34.5,9.64
SNY,Sanofi,45.54,0.47,13.165,110.984B,15.08,45.54,15.08
SBET,"SharpLink Gaming, Inc.",16,-0.31,13.288,3.074B,--,16,
GOOG,Alphabet Inc.,247.18,0.61,16.571,2.985T,26.38,247.18,26.38
M,"Macy's, Inc.",18,0.92,12.722,4.833B,10.23,18,10.23
UAA,"Under Armour, Inc.",4.97,0.2,12.817,2.109B,22.59,4.97,22.59
CMG,"Chipotle Mexican Grill, Inc.",40.08,0.75,14.878,53.743B,35.47,40.08,35.47
LYFT,"Lyft, Inc.",21.87,0.3,15.107,8.889B,95.09,21.87,95.09
BMY,Bristol-Myers Squibb Company,44.12,0.71,12.357,89.803B,17.72,44.12,17.72
SLB,Schlumberger Limited,35.52,0.93,14.593,53.063B,12.16,35.52,12.16
MSFT,Microsoft Corporation,511.46,4.43,16.143,3.802T,37.44,511.46,37.44
CAG,"Conagra Brands, Inc.",18.18,0.1,11.964,8.703B,7.57,18.18,7.57
CNC,Centene Corporation,34.86,0.47,12.075,17.121B,8.46,34.86,8.46
LCID,"Lucid Group, Inc.",23.96,0.92,12.345,7.363B,--,23.96,
EOSE,"Eos Energy Enterprises, Inc.",10.12,-0.37,12.598,2.826B,--,10.12,
HLN,Haleon plc,8.82,0.1,11.998,39.306B,19.6,8.82,19.6
SMR,NuScale Power Corporation,38,0.3,12.448,5.088B,--,38,
NCLH,Norwegian Cruise Line Holdings Ltd.,25.04,0.04,11.804,11.399B,17.15,25.04,17.15
CDE,"Coeur Mining, Inc.",18.44,0.24,13.867,11.852B,46.1,18.44,46.1
CMCSA,Comcast Corporation,31.72,0.1,15.008,117.117B,5.26,31.72,5.26
RUN,Sunrun Inc.,17.67,0.76,12.402,4.077B,--,17.67,
PTON,"Peloton Interactive, Inc.",8.56,0.14,12.079,3.492B,--,8.56,
EQX,Equinox Gold Corp.,10.79,0.15,11.95,8.436B,--,10.79,
KMI,"Kinder Morgan, Inc.",28.21,0.28,13.769,62.685B,23.12,28.21,23.12
IQ,"iQIYI, Inc.",2.63,-0.06,11.8,2.533B,263,2.63,263
QURE,uniQure N.V.,54.31,1.66,11.086,2.98B,--,54.31,
DOW,Dow Inc.,22.96,0.76,12.617,16.275B,--,22.96,
SBSW,Sibanye Stillwater Limited,11.16,0.5,10.974,7.897B,--,11.16,
CSCO,"Cisco Systems, Inc.",67.22,-0.63,13.238,265.734B,26.36,67.22,26.36
ET,Energy Transfer LP,17.46,0.05,10.06,59.935B,13.53,17.46,13.53
CSX,CSX Corporation,34.01,0.23,11.543,63.404B,20.87,34.01,20.87
MSTR,Strategy Inc,309.06,8.36,11.656,87.705B,21.69,309.06,21.69
MRK,"Merck & Co., Inc.",78.56,0.96,12.192,196.226B,12.1,78.56,12.1
CRNX,"Crinetics Pharmaceuticals, Inc.",45.91,10.02,10.21,4.324B,--,45.91,
PATH,UiPath Inc.,12.21,0.07,11.575,6.484B,407,12.21,407
PL,Planet Labs PBC,12.2,0.24,9.875,3.757B,--,12.2,
ERIC,Telefonaktiebolaget LM Ericsson (publ),8.19,0.06,10.146,26.751B,14.89,8.19,14.89
TSM,Taiwan Semiconductor Manufacturing Company Limited,273.36,-3.3,9.763,1.418T,29.84,273.36,29.84
VZ,Verizon Communications Inc.,43.61,0.26,9.744,183.874B,10.14,43.61,10.14
OSCR,"Oscar Health, Inc.",18.42,0.33,9.727,4.763B,--,18.42,
TEVA,Teva Pharmaceutical Industries Limited,18.34,-0.02,9.791,21.662B,--,18.34,
C,Citigroup Inc.,103.42,1.31,11.21,190.386B,15.28,103.42,15.28
EQT,EQT Corporation,54.06,0.13,11.639,33.737B,28.45,54.06,28.45
LUMN,"Lumen Technologies, Inc.",5.92,-0.03,9.726,6.075B,--,5.92,
KMX,"CarMax, Inc.",44.86,-0.74,9.57,6.587B,13.16,44.86,13.16
OXY,Occidental Petroleum Corporation,47.47,0.48,9.374,46.731B,27.92,47.47,27.92
MRNA,"Moderna, Inc.",24.49,-0.12,10.205,9.529B,--,24.49,
BAX,Baxter International Inc.,21.98,0.27,9.322,11.289B,--,21.98,
XPEV,XPeng Inc.,22.79,0.54,9.206,22.237B,--,22.79,
WMT,Walmart Inc.,103.16,0.11,9.158,822.479B,38.93,103.16,38.93
COMP,"Compass, Inc.",7.95,0,10.614,4.432B,--,7.95,
AUR,"Aurora Innovation, Inc.",5.51,-0.09,9.771,10.159B,--,5.51,
PPTA,Perpetua Resources Corp.,21.16,2.16,9.013,2.276B,--,21.16,
BE,Bloom Energy Corporation,70.32,1.63,8.955,16.455B,639.27,70.32,639.27
NXE,NexGen Energy Ltd.,9.1,0.15,8.935,5.203B,--,9.1,
UBER,"Uber Technologies, Inc.",98.45,0.85,10.349,205.309B,16.77,98.45,16.77
HTZ,"Hertz Global Holdings, Inc.",6.77,-0.26,9.265,2.104B,--,6.77,
IOT,Samsara Inc.,38.02,-0.49,8.753,21.81B,--,38.02,
LRCX,Lam Research Corporation,128.33,0.2,8.556,161.828B,30.92,128.33,30.92
TTD,"The Trade Desk, Inc.",47.14,0.38,9.179,23.049B,56.8,47.14,56.8
META,"Meta Platforms, Inc.",743.75,-5.16,9.617,1.868T,26.96,743.75,26.96
VNET,"VNET Group, Inc.",10.8,-0.33,8.516,2.905B,--,10.8,
CORZ,"Core Scientific, Inc.",16.85,0.01,8.711,5.146B,--,16.85,
FE,FirstEnergy Corp.,45.43,1.19,8.222,26.231B,20.01,45.43,20.01
DVN,Devon Energy Corporation,36.99,1.23,8.3,23.481B,8.33,36.99,8.33
DKNG,DraftKings Inc.,42.32,-0.6,8.712,21.011B,--,42.32,
ASTS,"AST SpaceMobile, Inc.",49.09,-0.3,8.18,17.736B,--,49.09,
WRD,WeRide Inc.,10.19,-0.72,8.402,2.899B,--,10.19,
ADT,ADT Inc.,8.81,0.21,8.237,7.225B,12.41,8.81,12.41
IBM,International Business Machines Corporation,284.31,2.87,8.12,264.84B,45.86,284.31,45.86
CPRT,"Copart, Inc.",44.87,-0.02,7.932,43.386B,28.22,44.87,28.22
GFS,GLOBALFOUNDRIES Inc.,35.59,2.75,8.372,19.751B,--,35.59,
U,Unity Software Inc.,42.76,0.65,8.001,18.067B,--,42.76,
XEL,Xcel Energy Inc.,79.28,2.03,7.523,46.888B,21.96,79.28,21.96
VTRS,Viatris Inc.,9.52,0.03,7.464,11.099B,--,9.52,
FIG,"Figma, Inc.",52.91,-1.48,7.427,25.914B,--,52.91,
WU,The Western Union Company,7.95,0.07,7.509,2.568B,3.01,7.95,3.01
VLY,Valley National Bancorp,10.68,0.03,8.256,5.978B,13.69,10.68,13.69
PAAS,Pan American Silver Corp.,38.36,1.56,8.02,16.188B,26.46,38.36,26.46
GME,GameStop Corp.,26.42,1.15,7.306,11.827B,33.02,26.42,33.02
GAP,"The Gap, Inc.",21.99,-0.19,7.654,8.159B,9.48,21.99,9.48
PTEN,"Patterson-UTI Energy, Inc.",5.58,0.08,7.945,2.149B,--,5.58,
SHOP,Shopify Inc.,140.25,-3.2,7.255,182.141B,77.92,140.25,77.92
PINS,"Pinterest, Inc.",33.6,0.15,7.257,22.846B,12.17,33.6,12.17
LTM,LATAM Airlines Group S.A.,44.44,1.25,7.227,13.431B,11.34,44.44,11.34
PAA,"Plains All American Pipeline, L.P.",17.72,0.03,7.508,12.463B,27.26,17.72,27.26
PYPL,"PayPal Holdings, Inc.",67.3,0.56,8.374,64.297B,14.41,67.3,14.41
UWMC,UWM Holdings Corporation,6.24,0.01,7.032,10.058B,156,6.24,156
APA,APA Corporation,24.69,0.35,7.6,8.834B,8.54,24.69,8.54
WAY,Waystar Holding Corp.,37.56,0.47,6.97,6.544B,68.29,37.56,68.29
GM,General Motors Company,61.24,0.65,8.639,58.305B,9.35,61.24,9.35
NEM,Newmont Corporation,85.25,1.58,6.96,93.643B,15.44,85.25,15.44
AEO,"American Eagle Outfitters, Inc.",17.95,0.15,6.854,3.04B,17.6,17.95,17.6
FLNC,"Fluence Energy, Inc.",11.91,0.18,7.104,2.174B,--,11.91,
WMB,"The Williams Companies, Inc.",64.01,0.7,8.566,78.168B,32.33,64.01,32.33
ACN,Accenture plc,238.97,6.41,7.061,148.639B,19.68,238.97,19.68
FHN,First Horizon Corporation,22.85,0.19,6.813,11.602B,14.74,22.85,14.74
CZR,"Caesars Entertainment, Inc.",27.04,1.13,7.489,5.624B,--,27.04,
BSX,Boston Scientific Corporation,98.18,0.04,8.154,145.478B,58.44,98.18,58.44
NEE,"NextEra Energy, Inc.",75.85,1.2,6.696,156.197B,26.43,75.85,26.43
GLXY,Galaxy Digital,30.9,-1.22,7.669,11.627B,--,30.9,
WFC,Wells Fargo & Company,85.01,0.69,8.463,272.325B,14.61,85.01,14.61
TMC,TMC the metals company Inc.,6.36,-0.2,6.621,3.356B,--,6.36,
DXCM,"DexCom, Inc.",67.1,-1.2,7.43,26.314B,47.25,67.1,47.25
OWL,Blue Owl Capital Inc.,17.76,0.4,6.556,27.519B,161.45,17.76,161.45
GT,The Goodyear Tire & Rubber Company,7.86,-0.02,7.203,2.248B,5.35,7.86,5.35
DOC,"Healthpeak Properties, Inc.",18.94,0.4,7.738,13.162B,78.92,18.94,78.92
TGT,Target Corporation,87.85,0.71,6.576,39.919B,10.24,87.85,10.24
JNJ,Johnson & Johnson,179.71,1.98,6.647,432.803B,19.24,179.71,19.24
NLY,"Annaly Capital Management, Inc.",21.04,0.22,6.458,13.509B,20.23,21.04,20.23
HPQ,HP Inc.,26.71,-0.14,6.427,24.966B,9.71,26.71,9.71
CTRA,Coterra Energy Inc.,23.83,0.13,6.362,18.186B,11.4,23.83,11.4
CHWY,"Chewy, Inc.",39.66,1.71,7.195,16.452B,110.17,39.66,110.17
YMM,Full Truck Alliance Co. Ltd.,13.05,0.04,6.264,13.649B,23.3,13.05,23.3
NWL,Newell Brands Inc.,5.17,0.02,6.22,2.167B,--,5.17,
TXN,Texas Instruments Incorporated,184.55,2.51,6.204,167.781B,33.8,184.55,33.8
ON,ON Semiconductor Corporation,50.16,0.39,6.145,20.514B,47.77,50.16,47.77
BKR,Baker Hughes Company,50.52,0.42,7.729,49.807B,16.51,50.52,16.51
AVTR,"Avantor, Inc.",11.84,0.06,6.302,8.072B,11.72,11.84,11.72
AFRM,"Affirm Holdings, Inc.",76.03,-1.91,6.119,24.759B,506.87,76.03,506.87
RIO,Rio Tinto Group,64.8,-0.63,6.322,107.448B,10.32,64.8,10.32
FNB,F.N.B. Corporation,16.24,0.15,6.14,5.832B,12.59,16.24,12.59
COLD,"Americold Realty Trust, Inc.",12.14,-0.03,6.022,3.469B,--,12.14,
AMAT,"Applied Materials, Inc.",203.92,4.32,6.733,162.451B,24.33,203.92,24.33
UPS,"United Parcel Service, Inc.",83.72,1.14,6.033,70.959B,12.46,83.72,12.46
UA,"Under Armour, Inc.",4.86,0.2,6.224,2.109B,22.09,4.86,22.09
SBUX,Starbucks Corporation,83.39,-0.44,6.949,94.789B,36.1,83.39,36.1
CPNG,"Coupang, Inc.",32.19,0.34,6.565,58.684B,160.95,32.19,160.95
AA,Alcoa Corporation,32.71,1.26,6.486,8.469B,7.71,32.71,7.71
BP,BP p.l.c.,35.69,0.43,5.903,91.833B,142.76,35.69,142.76
CNH,CNH Industrial N.V.,10.88,0.08,6.063,13.609B,16.74,10.88,16.74
COIN,"Coinbase Global, Inc.",312.59,5.9,6.5,80.316B,30.11,312.59,30.11
PONY,Pony AI Inc.,21.17,-0.14,5.84,7.522B,--,21.17,
ETNB,"89bio, Inc.",14.7,0,6.142,2.183B,--,14.7,
ROIV,Roivant Sciences Ltd.,15.17,0.21,5.831,10.359B,--,15.17,
UNH,UnitedHealth Group Incorporated,344.08,-1.48,5.829,311.624B,14.9,344.08,14.9
CNXC,Concentrix Corporation,47.66,-7.33,5.986,2.965B,10.1,47.66,10.1
VICI,VICI Properties Inc.,32.47,0.43,7.786,34.625B,12.44,32.47,12.44
HMY,Harmony Gold Mining Company Limited,18.12,0.94,6.546,11.317B,13.73,18.12,13.73
CRGY,Crescent Energy Company,9.77,0.31,5.786,2.488B,--,9.77,
CNQ,Canadian Natural Resources Limited,32.69,0.22,6.436,68.015B,11.55,32.69,11.55
AI,"C3.ai, Inc.",17.14,-0.14,5.722,2.363B,--,17.14,
CVX,Chevron Corporation,160.16,-0.56,6.759,322.694B,20.61,160.16,20.61
XYZ,"Block, Inc.",73.67,-0.01,6.576,44.908B,15.74,73.67,15.74
APP,AppLovin Corporation,669.86,29.95,6.064,226.58B,91.76,669.86,91.76
COP,ConocoPhillips,98.48,1.67,6.592,122.996B,13.2,98.48,13.2
EMR,Emerson Electric Co.,128.6,-1.51,5.727,72.376B,33.14,128.6,33.14
SONY,Sony Group Corporation,29.78,-0.05,5.737,178.163B,22.56,29.78,22.56
HUT,Hut 8 Corp.,33.16,-1.72,5.574,3.499B,23.19,33.16,23.19
JPM,JPMorgan Chase & Co.,316.06,2.61,7.256,869.087B,16.21,316.06,16.21
TRP,TC Energy Corporation,53.45,-0.24,5.563,55.568B,18.12,53.45,18.12
O,Realty Income Corporation,60.32,0.53,5.676,55.151B,58.56,60.32,58.56
SOBO,South Bow Corporation,28.31,-0.23,5.553,5.895B,19.66,28.31,19.66
VG,"Venture Global, Inc.",14.83,0.08,5.549,36.006B,25.14,14.83,25.14
PDD,PDD Holdings Inc.,129.99,-1.02,5.477,184.54B,14.02,129.99,14.02
EBAY,eBay Inc.,91.14,-1.97,6.056,41.651B,20.25,91.14,20.25
PBR-A,Petróleo Brasileiro S.A. - Petrobras,12.08,0,5.492,82.172B,5.64,12.08,5.64
HST,"Host Hotels & Resorts, Inc.",17.55,0.23,6.1,12.222B,18.67,17.55,18.67
SNDK,Sandisk Corporation,97.12,2.83,6.405,14.161B,--,97.12,
TEM,"Tempus AI, Inc.",78.48,1.15,5.411,13.634B,36.5,78.48,36.5
KVYO,"Klaviyo, Inc.",31.68,-0.82,5.432,9.504B,--,31.68,
PEP,"PepsiCo, Inc.",140.44,0.52,6.187,192.273B,25.58,140.44,25.58
PHYS,Sprott Physical Gold Trust,28.81,-0.02,6.512,13.37B,3.9,28.81,3.9
BCS,Barclays PLC,20.6,0.29,5.36,72.005B,9.45,20.6,9.45
CELH,"Celsius Holdings, Inc.",54.39,2.59,5.814,14.021B,143.13,54.39,143.13
UAL,"United Airlines Holdings, Inc.",97.91,-1.24,5.302,31.697B,9.82,97.91,9.82
LUV,Southwest Airlines Co.,32.53,0.6,6.824,17.084B,50.83,32.53,50.83
PCAR,PACCAR Inc,100.5,4.93,5.8,52.773B,17.24,100.5,17.24
HBM,Hudbay Minerals Inc.,14.16,0.2,5.291,5.603B,19.4,14.16,19.4
ENPH,"Enphase Energy, Inc.",36.5,-0.58,5.231,4.772B,28.29,36.5,28.29
USB,U.S. Bancorp,49.44,0.41,5.292,76.938B,11.83,49.44,11.83
TECK,Teck Resources Limited,41.44,1.47,5.219,20.218B,129.5,41.44,129.5
CARR,Carrier Global Corporation,58.84,0.09,5.258,50.074B,33.82,58.84,33.82
BBWI,"Bath & Body Works, Inc.",26.66,0.82,6.427,5.497B,7.98,26.66,7.98
XP,XP Inc.,18.78,-0.08,5.188,9.893B,10.98,18.78,10.98
AES,The AES Corporation,13.24,0.21,5.163,9.428B,10.18,13.24,10.18
IBRX,"ImmunityBio, Inc.",2.54,0.08,5.509,2.401B,--,2.54,
EXC,Exelon Corporation,44.09,0.31,6.548,44.53B,16.76,44.09,16.76
SAND,Sandstorm Gold Ltd.,12.27,0.26,5.305,3.597B,102.25,12.27,102.25
QXO,"QXO, Inc.",18.79,-0.14,5.646,12.656B,1.99,18.79,1.99
STNE,StoneCo Ltd.,18.72,0.15,5.683,5.008B,--,18.72,
